Pos,OnstreetName,FromStreet,ToStreetName,Shape.STLength()
"-73.96658338491972 40.76155093457678,-73.96657146988619 40.76148188043297,-73.9669947197019 40.7609053832791",3 AVENUE,EAST   58 STREET,EAST   59 STREET,265.92
"-73.9661274730316 40.76217929952991,-73.9656695988095 40.76280455529844",3 AVENUE,EAST   60 STREET,EAST   61 STREET,260.73
"-73.9661274730316 40.76217929952991,-73.9656695988095 40.76280455529844",3 AVENUE,EAST   60 STREET,EAST   61 STREET,260.73
"-73.9656695988095 40.76280455529844,-73.96521328088386 40.763431358529445",3 AVENUE,EAST   61 STREET,EAST   62 STREET,261.02
"-73.9656695988095 40.76280455529844,-73.96521328088386 40.763431358529445",3 AVENUE,EAST   61 STREET,EAST   62 STREET,261.02
"-73.96521328088386 40.763431358529445,-73.96475544963111 40.76405706982465",3 AVENUE,EAST   62 STREET,EAST   63 STREET,260.87
"-73.96521328088386 40.763431358529445,-73.96475544963111 40.76405706982465",3 AVENUE,EAST   62 STREET,EAST   63 STREET,260.87
"-73.96475544963111 40.76405706982465,-73.96429790392352 40.76468198689011",3 AVENUE,EAST   63 STREET,EAST   64 STREET,260.58
"-73.96475544963111 40.76405706982465,-73.96429790392352 40.76468198689011",3 AVENUE,EAST   63 STREET,EAST   64 STREET,260.58
"-73.99311953476646 40.73669104583538,-73.99265431055858 40.73733046756527",5 AVENUE,EAST   15 STREET,EAST   16 STREET,266.26
"-73.99265431055858 40.73733046756527,-73.9922248489443 40.73791698496315",5 AVENUE,EAST   16 STREET,EAST   17 STREET,244.59
"-73.9922248489443 40.73791698496315,-73.99179768835634 40.7385036539621",5 AVENUE,EAST   17 STREET,EAST   18 STREET,244.33
"-73.99179768835634 40.7385036539621,-73.99137407225521 40.739088187392085",5 AVENUE,EAST   18 STREET,EAST   19 STREET,243.18
"-73.99137407225521 40.739088187392085,-73.99094521569967 40.73967337617495",5 AVENUE,EAST   19 STREET,EAST   20 STREET,244.09
"-73.99094521569967 40.73967337617495,-73.99051784292006 40.740261688195595",5 AVENUE,EAST   20 STREET,EAST   21 STREET,244.88
"-73.99051784292006 40.740261688195595,-73.99007005876007 40.74088024485908",5 AVENUE,EAST   21 STREET,EAST   22 STREET,257.26
"-73.99007005876007 40.74088024485908,-73.98957565815412 40.741548080269865",5 AVENUE,EAST   22 STREET,EAST   23 STREET,279.23
"-73.98684539262783 40.74530072599555,-73.98639326575166 40.745921194517905",5 AVENUE,EAST   29 STREET,EAST   30 STREET,258.45
"-73.98684539262783 40.74530072599555,-73.98639326575166 40.745921194517905",5 AVENUE,EAST   29 STREET,EAST   30 STREET,258.45
"-73.98639326575166 40.745921194517905,-73.98594856747124 40.746535853851704",5 AVENUE,EAST   30 STREET,EAST   31 STREET,255.60
"-73.98639326575166 40.745921194517905,-73.98594856747124 40.746535853851704",5 AVENUE,EAST   30 STREET,EAST   31 STREET,255.60
"-73.98594856747124 40.746535853851704,-73.98549602215013 40.74715232945072",5 AVENUE,EAST   31 STREET,EAST   32 STREET,257.24
"-73.98594856747124 40.746535853851704,-73.98549602215013 40.74715232945072",5 AVENUE,EAST   31 STREET,EAST   32 STREET,257.24
"-73.98549602215013 40.74715232945072,-73.98504577643473 40.747773017886416",5 AVENUE,EAST   32 STREET,EAST   33 STREET,258.27
"-73.98549602215013 40.74715232945072,-73.98504577643473 40.747773017886416",5 AVENUE,EAST   32 STREET,EAST   33 STREET,258.27
"-73.98504577643473 40.747773017886416,-73.98456077106897 40.74843884222922",5 AVENUE,EAST   33 STREET,EAST   34 STREET,277.32
"-73.98504577643473 40.747773017886416,-73.98456077106897 40.74843884222922",5 AVENUE,EAST   33 STREET,EAST   34 STREET,277.32
"-73.98456077106897 40.74843884222922,-73.9840763605007 40.74910212512274",5 AVENUE,EAST   34 STREET,EAST   35 STREET,276.43
"-73.98456077106897 40.74843884222922,-73.9840763605007 40.74910212512274",5 AVENUE,EAST   34 STREET,EAST   35 STREET,276.43
"-73.9840763605007 40.74910212512274,-73.98362158382695 40.74972377163719",5 AVENUE,EAST   35 STREET,EAST   36 STREET,259.18
"-73.9840763605007 40.74910212512274,-73.98362158382695 40.74972377163719",5 AVENUE,EAST   35 STREET,EAST   36 STREET,259.18
"-73.98362158382695 40.74972377163719,-73.98317416346211 40.750342208874024",5 AVENUE,EAST   36 STREET,EAST   37 STREET,257.17
"-73.98362158382695 40.74972377163719,-73.98317416346211 40.750342208874024",5 AVENUE,EAST   36 STREET,EAST   37 STREET,257.17
"-73.98317416346211 40.750342208874024,-73.98272387557623 40.75095894463464",5 AVENUE,EAST   37 STREET,EAST   38 STREET,257.01
